id,bloodline,breed_type,genotype,hash_info.name,win_rate,number_of_races,parents.father.bloodline,parents.father.breed_type,parents.father.genotype,parents.father.hash_info.name,parents.father.win_rate,parents.father.number_of_races,parents.mother.bloodline,parents.mother.breed_type,parents.mother.genotype,parents.mother.hash_info.name,parents.mother.win_rate,parents.mother.number_of_races
15251,Nakamoto,exclusive,Z4,Moneyball,16.67,6,Nakamoto,legendary,Z2,Blade,18.92,74.0,Nakamoto,legendary,Z2,Rua Augusta,13.95,86.0
15252,Szabo,legendary,Z7,Expresso,0.0,2,Szabo,genesis,Z4,Norseback,17.36,121.0,Szabo,genesis,Z3,Automatic Creative,12.6,127.0
15253,Buterin,legendary,Z20,Pegaso,0.0,2,Buterin,genesis,Z10,Powerful Action,11.32,53.0,Buterin,genesis,Z10,Sheer Madness,20.9,67.0
15254,Finney,legendary,Z11,Bright,0.0,21,Finney,genesis,Z6,So LA,11.67,60.0,Finney,genesis,Z5,Oh Yeah,7.14,42.0
15255,Buterin,legendary,Z17,Diana,0.0,3,Buterin,genesis,Z10,Powerful Action,11.32,53.0,Finney,genesis,Z7,Kamakaze,8.33,24.0
15256,Szabo,legendary,Z7,BoomShakaLaka,10.26,39,Szabo,genesis,Z3,Forever Hold Your Peace,0.0,6.0,Szabo,genesis,Z4,Swish,0.0,0.0
15257,Szabo,exclusive,Z8,Shadebolt,0.0,1,Szabo,genesis,Z4,Norseback,17.36,121.0,Nakamoto,exclusive,Z4,La Dame du Lac,7.94,63.0
15258,Nakamoto,elite,Z9,Warner,12.77,274,Nakamoto,exclusive,Z5,Disney,12.59,286.0,Nakamoto,legendary,Z4,Mother of God,7.95,88.0
15259,Buterin,legendary,Z18,Monsieur Gustave,0.0,9,Buterin,genesis,Z9,Spring Loaded,0.0,6.0,Buterin,genesis,Z9,The Noise,8.93,56.0
15260,Szabo,exclusive,Z8,Sugarlight,16.8,125,Szabo,genesis,Z4,Norseback,17.36,121.0,Nakamoto,exclusive,Z4,La Dame du Lac,7.94,63.0
15261,Buterin,legendary,Z18,Silky and Good,0.0,7,Buterin,genesis,Z10,Real Good,14.29,14.0,Buterin,genesis,Z8,Silky and Sleek,3.82,131.0
15262,Buterin,legendary,Z13,Grey,7.89,38,Szabo,genesis,Z3,Victor Yugo,3.03,33.0,Buterin,genesis,Z10,Perignon,0.0,13.0
15263,Szabo,legendary,Z7,Tianma,0.0,15,Szabo,genesis,Z3,Grin,20.0,30.0,Szabo,genesis,Z4,Dagwood Fears,19.44,36.0
15264,Szabo,legendary,Z6,Skydancer,1.67,60,Szabo,genesis,Z3,Grin,20.0,30.0,Szabo,genesis,Z3,The Marathon,7.94,63.0
15265,Szabo,legendary,Z6,Helhest,0.0,6,Szabo,genesis,Z3,Grin,20.0,30.0,Szabo,genesis,Z3,The Marathon,7.94,63.0
15266,Buterin,exclusive,Z11,Blue Meth,8.33,36,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Buterin,genesis,Z9,Geed Up,3.7,27.0
15267,Buterin,exclusive,Z10,Domination,14.89,47,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Buterin,genesis,Z8,Scarlet Billows,3.7,27.0
15268,Szabo,legendary,Z7,Sansa,8.0,25,Szabo,genesis,Z3,Grin,20.0,30.0,Szabo,genesis,Z4,Dagwood Fears,19.44,36.0
15269,Buterin,legendary,Z15,Bentley,0.0,12,Finney,genesis,Z7,Tutti Frutti,11.76,17.0,Buterin,genesis,Z8,Hot Line Bling,0.0,28.0
15270,Nakamoto,exclusive,Z6,Amaterasu,0.0,5,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Nakamoto,legendary,Z4,Mother of God,7.95,88.0
15271,Szabo,legendary,Z4,Tena-City,0.0,5,Szabo,genesis,Z3,Grin,20.0,30.0,Nakamoto,genesis,Z1,Swiss Banker,16.67,12.0
15272,Nakamoto,cross,Z9,Hodor,0.0,10,Nakamoto,legendary,Z2,Thanos,0.0,2.0,Nakamoto,elite,Z7,Euphoria,0.0,5.0
15273,Buterin,elite,Z14,Uber Eats Gift Card,0.0,6,Nakamoto,exclusive,Z4,I Have Spoken,4.17,24.0,Buterin,genesis,Z10,Extreme Torque,8.77,57.0
15274,Nakamoto,exclusive,Z4,Kisame,7.14,14,Nakamoto,legendary,Z2,WalterWhite,28.57,7.0,Nakamoto,legendary,Z2,Syrup Amoralis,5.0,40.0
15275,Buterin,exclusive,Z12,Hidden,5.88,17,Nakamoto,legendary,Z2,Thanos,0.0,2.0,Buterin,genesis,Z10,Dream Approval,4.35,115.0
15276,Buterin,legendary,Z15,Anything For Selena,0.0,0,Finney,genesis,Z6,So LA,11.67,60.0,Buterin,genesis,Z9,Magic Ray,0.0,1.0
